#{"t_start": 1712690826.7966678, "env_id": "LunarLander-v2"}
r,l,t
-445.503196,95,0.039967
-169.674889,84,0.06041
-145.111826,61,0.07463
-202.956778,130,0.105945
-138.305825,79,0.125594
-103.743714,74,0.141569
-354.739459,102,0.16358
-432.728653,90,0.183186
-115.641688,135,0.215653
-118.702825,78,0.234274
-106.552186,92,0.254819
-191.592816,79,0.272022
-437.4104,88,0.292673
-223.672763,75,0.310727
-98.86899,70,0.329119
-508.819594,89,0.349223
-319.628105,94,0.370053
-91.441304,82,0.387728
-160.772061,82,0.405297
-246.249859,109,0.432246
-89.430634,103,0.455214
-429.921503,116,0.482719
-128.14458,124,0.866883
-122.930583,102,0.889446
-89.977663,108,0.914483
-291.176212,117,0.9413
-298.808131,117,0.971418
-84.470377,62,0.985579
-105.578204,67,1.001378
-114.579568,76,1.019837
-105.669793,81,1.037739
-273.348468,96,1.058728
-185.999504,116,1.089191
-132.189635,86,1.108737
-106.833045,83,1.126463
-97.906037,69,1.141498
-132.135518,100,1.16354
-75.826825,86,1.185795
-104.515092,65,1.199997
-103.219029,82,1.218751
-389.56319,149,1.254267
-101.718166,82,1.271569
-123.305147,93,1.294712
-110.783904,102,1.317457
-181.170543,93,1.688218
-80.711554,78,1.707524
-51.984949,87,1.726891
-68.503804,78,1.743476
-82.270582,102,1.766222
-259.299379,83,1.784867
-91.465769,83,1.805183
-127.874928,69,1.820216
-286.178178,96,1.841284
-437.781824,129,1.871011
-49.015512,76,1.887617
-310.636515,135,1.922745
-207.960138,120,1.950688
-159.235626,111,1.975224
-234.754545,100,1.997511
-187.375596,137,2.034593
-197.56954,100,2.057266
-226.121001,114,2.084245
-126.788897,127,2.114226
-44.396202,78,2.133564
-196.232846,98,2.554412
-80.476022,98,2.577174
-79.262796,77,2.593666
-16.664837,128,2.623816
-120.019739,106,2.650868
-97.04027,113,2.67677
-126.467723,111,2.701752
-234.482561,82,2.719931
-189.533707,133,2.752987
-124.143591,69,2.768124
-109.224317,146,2.803774
-48.478846,65,2.817451
-79.139938,75,2.833369
-88.007128,127,2.865177
-347.946502,143,2.89916
-101.081752,89,2.919129
-249.981419,125,2.947864
-260.047447,142,2.984982
-192.954053,127,3.014057
-36.681077,83,3.359349
-118.192043,136,3.394925
-108.368003,144,3.429071
-87.970302,103,3.452469
-79.933732,112,3.477987
-312.997415,75,3.497718
-45.750303,72,3.513302
-9.522377,81,3.531041
-71.800672,188,3.581145
-108.290539,109,3.607592
-67.389648,100,3.630479
-86.760249,83,3.64835
-231.171573,323,3.78703
-105.758626,102,3.81315
-20.44514,125,3.842633
-143.904657,109,3.867817
-72.270383,90,3.888036
-154.824777,98,4.255729
-85.61512,90,4.266681
-241.316348,69,4.274063
-102.459374,79,4.282181
-101.448983,111,4.295983
-353.263006,72,4.303667
-390.358523,104,4.314164
-80.268217,92,4.323268
-241.661013,100,4.334457
-142.210061,87,4.342479
-140.50858,76,4.349523
-268.87277,100,4.3601
-49.369612,62,4.368062
-107.425523,64,4.373665
7.856698,77,4.381483
-348.122924,96,4.390604
-200.830452,73,4.397827
-290.761164,94,4.40641
-427.502337,101,4.416211
-150.199166,100,4.426739
-122.632422,117,4.440508
-366.22578,119,4.453342
-296.851986,111,4.4651
-89.034871,75,4.472409
-181.096165,65,4.48119
-45.152469,65,4.487045
-207.510611,137,4.503358
-127.524394,105,4.513574
-144.597526,128,4.52957
-94.993195,127,4.545786
-286.864859,102,4.557529
-187.226722,118,4.570782
-188.630087,90,4.579653
-400.767877,92,4.590306
-316.194652,98,4.599532
-123.243075,76,4.606671
-181.080947,101,4.61782
-97.750958,64,4.623756
-177.151295,123,4.63827
-356.130455,110,4.6494
-197.592983,82,4.657447
-49.102232,79,4.664508
-82.488863,106,4.675236
-141.595065,126,4.688589
-204.228129,88,4.69999
-76.162837,74,4.706975
-140.639701,59,4.711734
-247.611116,140,4.727657
-75.711297,83,4.736328
-126.268988,106,4.747529
-178.119476,111,4.759218
-308.787412,102,4.769457
-226.102532,104,4.780532
-135.007823,132,4.796087
-410.933128,84,4.804464
-95.610615,120,4.818317
-82.404242,71,4.826767
-131.462503,74,4.833908
-138.669779,111,4.845846
-175.966634,89,4.855043
-57.350041,128,4.87007
-210.896895,56,4.874846
-128.184227,68,4.88078
-97.097367,79,4.887796
-115.981121,117,4.900629
-127.179818,92,4.910124
-117.960603,112,4.922099
-115.655566,70,4.929266
-44.226799,98,4.942434
-72.102537,64,4.947892
-11.357873,101,4.958568
-77.867371,67,4.96454
-204.091865,88,4.973745
-440.985146,96,4.983103
-273.699528,71,4.989968
-379.939327,110,5.002044
-394.507122,97,5.012881
-249.342563,106,5.023854
-16.726794,102,5.034617
-199.624067,66,5.040743
-76.630467,69,5.05001
-159.099122,83,5.058316
-89.818895,70,5.065266
-509.908282,88,5.073383
-250.893101,103,5.085219
-283.165104,97,5.095552
-230.381861,90,5.104966
-3.025388,73,5.112378
-343.920147,108,5.123971
-265.524384,83,5.132228
-344.681049,109,5.144504
-252.548186,109,5.157704
-181.500489,71,5.166875
-127.793282,74,5.17376
-112.030398,87,5.182454
-62.670904,105,5.192993
-92.548156,89,5.202131
-36.179362,69,5.208347
-450.91875,113,5.220597
-107.5216,97,5.230186
-301.689507,78,5.238375
-169.869987,111,5.24988
-441.163333,102,5.260584
-253.431435,95,5.272334
-329.859494,106,5.284628
-169.747664,84,5.292811
-102.018718,55,5.297521
-220.501732,107,5.372559
-669.347797,186,5.464696
-299.443941,162,5.538265
-378.133134,106,5.585152
-520.015117,197,5.683298
-404.326673,92,5.720122
-381.191773,165,5.794674
-336.072877,86,5.829599
-193.301682,118,5.881708
-411.532517,110,5.925611
-373.392668,91,5.966739
-406.388712,99,6.009404
-386.823754,94,6.048167
-295.443836,114,6.099546
-401.922063,104,6.14233
-266.906856,106,6.189885
-547.92779,181,6.276384
-357.714277,96,6.316445
-337.63168,107,6.365561
-232.023833,110,6.410975
-94.717092,253,6.540377
-39.986668,126,6.596793
-265.506356,147,6.661244
-166.10857,112,6.712233
-620.627764,449,7.093005
-687.104424,218,7.206643
-641.605925,225,7.331199
-348.408195,137,7.39189
-342.930448,132,7.451297
-421.266009,229,7.569269
-129.884698,101,7.616216
-284.511345,210,7.725033
-360.834424,199,7.821503
-72.352244,114,7.874173
-357.848312,250,8.002473
-0.047602,187,8.091917
-175.530402,163,8.166788
-106.719272,104,8.212288
125.136905,1000,9.29202
-38.855643,163,9.374708
-184.806549,151,9.449918
-206.912543,164,9.52386
150.472717,798,10.259575
-202.601441,278,10.425787
-241.309935,276,10.581199
-38.974746,206,10.688071
-44.271636,228,10.805162
-7.869366,109,10.849867
-12.078948,275,11.017518
-54.319228,245,11.160597
-232.259682,253,11.298544
