,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-131.8,2024-04-10 11:45:11.626265,2024-04-10 11:45:58.665169,0 days 00:00:47.038904,tanh,256,0.1,7.663977048746875e-06,0.95,0.98,9.907270950598915e-05,2.0,10,32,medium,0.294870621348425,COMPLETE
1,1,-200.0,2024-04-10 11:45:11.626666,2024-04-10 11:46:17.297409,0 days 00:01:05.670743,tanh,512,0.3,3.1763135430245666e-05,0.98,0.999,0.024166649262651864,1.0,20,32,small,0.9416157907296395,COMPLETE
2,2,-200.0,2024-04-10 11:45:58.665724,2024-04-10 11:46:36.380089,0 days 00:00:37.714365,tanh,64,0.4,2.4061172551361682e-08,0.92,0.99,0.18271415563443294,0.9,20,128,small,0.20880509606136655,COMPLETE
3,3,-200.0,2024-04-10 11:46:17.297930,2024-04-10 11:47:04.701818,0 days 00:00:47.403888,relu,16,0.2,0.00043585277114490116,0.95,0.99,0.23512553188958146,0.9,5,16,medium,0.7521878781533116,COMPLETE
4,4,-200.0,2024-04-10 11:46:36.380628,2024-04-10 11:46:56.995441,0 days 00:00:20.614813,relu,8,0.1,0.0241781552147746,0.99,0.98,0.0007809987147431803,5.0,1,64,medium,0.31643393402827913,COMPLETE
5,5,-200.0,2024-04-10 11:46:56.995970,2024-04-10 11:47:00.638978,0 days 00:00:03.643008,relu,512,0.2,2.7212401753321445e-08,0.92,0.9999,0.0001000429908538411,0.9,1,2048,medium,0.8294953728550851,COMPLETE
6,6,-140.0,2024-04-10 11:47:00.639527,2024-04-10 11:48:13.465917,0 days 00:01:12.826390,tanh,8,0.4,0.004920670951477054,0.98,0.995,1.1490518630550319e-05,0.6,5,8,small,0.7851710471286004,COMPLETE
7,7,-200.0,2024-04-10 11:47:04.702365,2024-04-10 11:47:30.232720,0 days 00:00:25.530355,tanh,32,0.3,9.343758671782408e-08,1.0,0.9,0.2525822593966253,0.5,5,1024,small,0.07852537713312557,COMPLETE
8,8,-123.8,2024-04-10 11:47:30.233204,2024-04-10 11:47:37.290156,0 days 00:00:07.056952,tanh,512,0.3,0.0001049242282669813,0.99,0.9,1.0490281883499582e-05,0.3,5,1024,medium,0.22714541722209003,COMPLETE
9,9,-200.0,2024-04-10 11:47:37.290630,2024-04-10 11:47:41.542914,0 days 00:00:04.252284,relu,256,0.3,2.928723718256866e-07,0.98,0.995,0.024510272632423533,0.7,1,64,small,0.5600623611402353,COMPLETE
10,10,-200.0,2024-04-10 11:47:41.543385,2024-04-10 11:48:30.399480,0 days 00:00:48.856095,relu,16,0.2,1.0997523399592695e-06,0.9,0.9,0.08506178112718148,0.7,5,1024,small,0.8757083254769024,COMPLETE
11,11,-200.0,2024-04-10 11:48:13.466399,2024-04-10 11:48:21.615985,0 days 00:00:08.149586,tanh,128,0.4,1.3089450431307736e-07,0.92,0.9999,0.018276443839895573,0.3,5,256,small,0.5460027868405628,COMPLETE
12,12,-200.0,2024-04-10 11:48:21.616471,2024-04-10 11:49:09.848665,0 days 00:00:48.232194,tanh,16,0.4,0.032188532753827936,0.92,0.99,0.21255298992244492,0.8,5,1024,small,0.6150665412917418,COMPLETE
13,13,-200.0,2024-04-10 11:48:30.399962,2024-04-10 11:48:46.420340,0 days 00:00:16.020378,tanh,16,0.4,0.041849301247913466,0.8,0.995,0.006011170102594969,2.0,1,2048,medium,0.1073606085125941,COMPLETE
14,14,-160.2,2024-04-10 11:48:46.420907,2024-04-10 11:49:12.042879,0 days 00:00:25.621972,relu,64,0.3,1.3295189502834329e-05,0.99,0.995,0.0001266480947175806,1.0,10,1024,small,0.7742614967786066,COMPLETE
15,15,-200.0,2024-04-10 11:49:09.849715,2024-04-10 11:49:57.843974,0 days 00:00:47.994259,tanh,64,0.1,3.7248561635799025e-05,0.9,0.98,0.012947055218558802,0.8,5,16,medium,0.6413204962067555,COMPLETE
16,16,-200.0,2024-04-10 11:49:12.043427,2024-04-10 11:49:49.575563,0 days 00:00:37.532136,tanh,128,0.2,0.006040548169627662,0.9,0.98,0.014981566397926699,1.0,20,128,medium,0.8745803925696146,COMPLETE
17,17,,2024-04-10 11:49:49.576121,,,tanh,8,0.4,8.25085172604295e-05,1.0,0.98,0.07105532748491881,0.3,20,64,medium,0.4791463938244762,RUNNING
18,18,-200.0,2024-04-10 11:49:57.844479,2024-04-10 11:50:42.004383,0 days 00:00:44.159904,relu,256,0.4,0.055230532743773667,0.9,0.98,1.1205809288824433e-05,1.0,10,32,medium,0.22803551948657463,COMPLETE
19,19,-200.0,2024-04-10 11:50:42.004914,2024-04-10 11:50:58.981023,0 days 00:00:16.976109,relu,64,0.3,5.479297995722103e-07,0.8,0.99,0.0019563491240857387,5.0,5,1024,medium,0.5090097364663498,COMPLETE
20,20,-200.0,2024-04-10 11:50:58.981638,2024-04-10 11:51:22.441987,0 days 00:00:23.460349,relu,512,0.4,3.171245031183419e-05,0.8,0.99,0.04844077357420036,0.3,10,64,medium,0.32775181376430107,COMPLETE
21,21,-200.0,2024-04-10 11:51:22.442548,2024-04-10 11:51:29.929101,0 days 00:00:07.486553,tanh,32,0.1,4.1506062853764015e-06,0.8,0.98,0.024167150901816554,0.5,1,128,medium,0.4527207397575155,COMPLETE
22,22,-143.4,2024-04-10 11:51:29.929590,2024-04-10 11:51:46.586537,0 days 00:00:16.656947,relu,256,0.1,0.00017096292062299736,0.8,0.999,0.00094626891186472,1.0,20,256,medium,0.0038803289511487593,COMPLETE
23,23,,2024-04-10 11:51:46.587069,,,tanh,8,0.4,6.993443539303041e-07,0.92,0.9999,0.04027564521979104,5.0,20,256,medium,0.4311490169255652,RUNNING
